,title,category,date,location,url
0,CBD covered in smoke after toxic explosion,UPDATEDVIC15 minutes ago,2024-07-10,Australia,https://www.news.com.au/national/victoria/news/multiple-crews-scramble-to-contain-factory-fire-in-melbournes-west-following-large-chemical-explosion/news-story/35fa2feb2832f0b6b2dda3bb6579d225
1,‘Suffered’: New claims on girl’s final hours,QLD Courts & Law19 minutes ago,2024-07-10,Australia,https://www.news.com.au/national/queensland/courts-law/14-members-of-cultlike-religious-group-the-saints-accused-of-causing-8yo-girls-death/news-story/f8f11e91482f50976d8a53dc323643cf
2,Beloved cult bakery to shut down,Restaurants & Bars33 minutes ago,2024-07-10,Australia,https://www.news.com.au/lifestyle/food/restaurants-bars/soaring-costs-claims-another-popular-eatery-which-despite-popularity/news-story/9be3091f08418c55240a58af83c4d53d
3,Woman’s alleged horror act with pet dog,WA37 minutes ago,2024-07-10,Australia,https://www.news.com.au/national/western-australia/woman-allegedly-tries-to-shove-bag-of-meth-inside-miniature-dachshunds-anus/news-story/b0bbf30261380351788b287ffed17b66
4,’Not a dirty act’: Coaches defend Heeney,AFL44 minutes ago,2024-07-10,Australia,https://www.news.com.au/sport/afl/afl-2024-coaches-call-for-brownlow-medal-eligibility-review/news-story/d6a7d0e2941405a5cb976c722083759b
5,Fresh twist in fatal hot chip brawl,QLD Courts & Law55 minutes ago,2024-07-10,Australia,https://www.news.com.au/national/queensland/courts-law/ricky-lefoe-appeals-sentence-for-manslaughter-of-ivan-susin-on-the-gold-coast/news-story/4757c66fa0bffb6241b95d02c1df55c2
6,The one man who never doubted Gagai’s return,NRL56 minutes ago,2024-07-10,Australia,https://www.news.com.au/sport/nrl/its-awesome-to-see-him-back-jacob-gagai-stoked-to-see-dane-back-in-the-maroons-side-as-the-younger-brother-forges-his-own-nrl-path/news-story/4f6eabf0f75b1287473ad40592ef136a
7,Grim warning as tax cuts hit wallets,Australian Economy,2024-07-10,Australia,https://www.news.com.au/finance/economy/australian-economy/unsw-economics-expert-warns-of-stage-3-tax-cut-inflation-risks/news-story/aaf9a280605a9118557143ff2358de69
8,Plea from players after cash cutbacks,Football,2024-07-10,Australia,https://www.news.com.au/sport/football/worried-players-call-for-clear-vision-on-ways-the-embattled-aleague-can-prosper/news-story/f8af4aad31499a2b019029bb294f1954
9,Girlfriend accused of partner’s dad’s death,VIC Courts & Law,2024-07-10,Australia,https://www.news.com.au/national/victoria/courts-law/danielle-birchell-woman-accused-of-killing-expartners-elderly-father-kon-kritikos-granted-bail/news-story/db55e4c631f4d25ff54867e9400db3a3
10,Key detail in massive Aussie Olympic team,Olympics,2024-07-10,Australia,https://www.news.com.au/sport/olympics/female-athletes-make-up-the-largest-ever-percentage-of-australias-460strong-olympic-team/news-story/98036833364c980cef681d9c71badbac
11,‘Funny’: Teen’s texts after alleged gang rape,NSW / ACT Courts & Law,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/courts-law/funny-teens-texts-after-alleged-bucks-party-gang-rape-revealed/news-story/1d807ea86f0970a1af9b603232218d8e
12,Bombers veterans in scrap for spots,AFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/afl-2024-dyson-heppell-todd-goldstein-both-available-for-essendon-clash/news-story/4f516122e1d8e903f38ec89e9cde10e1
13,Head knocks force young gun to retire,BreakingAFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/collingwoods-josh-carmichael-forced-in-to-retirement-after-a-series-of-concussions/news-story/f19597088daa875c0a2a785b80e657a6
14,Children’s PJs pulled from H&M stores,Retail,2024-07-10,Australia,https://www.news.com.au/finance/business/retail/childrens-pyjamas-pulled-from-hm-stores-around-australia/news-story/0a4361683063d068ad5baff2716716a0
15,Update on naked man found in boat,WA,2024-07-10,Australia,https://www.news.com.au/national/western-australia/update-on-naked-man-found-in-boat-near-cervantes-jetty-wa/news-story/cbd04bf6902e523f9aab6e4cd445aa1d
16,Property investor slams ‘boomer bashing’,UPDATEDWealth,2024-07-10,Australia,https://www.news.com.au/finance/money/wealth/boomer-privilege-at-its-best-victorian-couple-reveal-why-theyre-spending-their-childrens-inheritance-on-luxury-holidays/news-story/77e658356b58a8a6c8232cbc84fe76b5
17,Croc responsible for 12yo’s death killed,Animals,2024-07-10,Australia,https://www.news.com.au/technology/science/animals/crocodile-that-killed-12yo-girl-at-mango-creek-in-northern-territory-located-and-killed-police-say/news-story/5d6afcca4dc87a140babb5e8c1abba5f
