Title,Date,URL,category
Simon Coveney to stand down at next Irish election,Wed Jul 10 2024 09:27:16,https://www.bbc.com//news/articles/cql85nv8xqyo,Politics
What is Nato and which countries are members?,Thu May 10 2012 14:29:05,https://www.bbc.com//news/world-europe-18023383,General
Russian court orders arrest of Yulia Navalnaya,Tue Jul 09 2024 16:10:23,https://www.bbc.com//news/articles/cg3mjzyp40go,General
BBC Verify looks at evidence linking Russia to Kyiv hospital strike,Tue Jul 09 2024 19:53:48,https://www.bbc.com//news/videos/cj7dzr92m17o,War
French Socialist eyes PM job but deadlock persists,Tue Jul 09 2024 15:57:35,https://www.bbc.com//news/articles/c3gwd46z83yo,Politics
United Kingdom country profile,Thu May 10 2012 16:50:25,https://www.bbc.com//news/world-europe-18023389,General
Ireland to increase public spending by almost 7%,Tue Jul 09 2024 14:21:04,https://www.bbc.com//news/articles/c51yql430l5o,Politics
Prosecutors probe Marine Le Pen campaign funding,Tue Jul 09 2024 12:30:58,https://www.bbc.com//news/articles/cnk4qlwn7dpo,Politics
Bulgaria country profile,Wed Feb 29 2012 10:51:38,https://www.bbc.com//news/world-europe-17202996,General
Romania country profile,Fri Apr 20 2012 20:08:27,https://www.bbc.com//news/world-europe-17776265,General
Ireland's greenhouse emissions lowest in 30 years,Tue Jul 09 2024 09:16:01,https://www.bbc.com//news/articles/cn07zx66g1xo,General
Ukraine mourns after day of Russian air strikes,Tue Jul 09 2024 03:16:12,https://www.bbc.com//news/articles/cd162vj804go,War
Russian court jails theatre figures over IS wives play,Mon Jul 08 2024 23:26:44,https://www.bbc.com//news/articles/cv2gngxd8kdo,General
Children's hospital hit as Russian strikes kill dozens in Ukraine,Mon Jul 08 2024 09:08:52,https://www.bbc.com//news/articles/cl4y1pjk2dzo,War
Rewards for tourists who litter pick in Copenhagen,Mon Jul 08 2024 19:34:35,https://www.bbc.com//news/articles/c04783n9x94o,General
Aer Lingus accepts proposed pay rise for pilots,Mon Jul 08 2024 14:05:12,https://www.bbc.com//news/articles/c6p2zqv305ro,War
Bardella to lead new far-right European Parliament group,Mon Jul 08 2024 17:50:19,https://www.bbc.com//news/articles/cp9vre72wpdo,General
Macron asks French PM to stay on as political deadlock continues,Mon Jul 08 2024 14:49:49,https://www.bbc.com//news/articles/c51ygevlylvo,Politics
