date,location,title,categories,source_link
2024-07-04,bolivia,"A week after an alleged coup attempt in Bolivia, confusion and conspiracy theories reign",Political Events,https://apnews.com/article/bolivia-military-coup-conspiracy-rumors-arce-zuniga-906af02327b909351e797025155a2f5a
2024-07-02,bolivia,Bolivia summons Argentine ambassador for reprimand over its claims of a fake coup,Political Events,https://apnews.com/article/bolivia-argentina-relations-army-coup-rebellion-fake-milei-morales-7e82e262b8c28c379905c63188449ba9
2024-07-01,bolivia,Economic turmoil in Bolivia fuels distrust in government and its claim of a ‘failed coup’,Political Events,https://apnews.com/article/bolivia-economy-distrust-arce-morales-cdb4672eb26c68d130df924fa2913403
2024-07-01,bolivia,"Bolivian president orchestrated a ‘self-coup,’ political rival Evo Morales claims",Political Events,https://apnews.com/article/bolivia-coup-accusation-arce-morales-b0051f5a98fdd7ec5ba212bbe49d9850
2024-06-29,bolivia,Bolivia’s leader says the general accused of leading failed coup wanted to ‘take over’ as president,Political Events,https://apnews.com/article/bolivia-president-coup-arce-interview-ade93ba7392bfaa18fd0b39bd0647473
2024-06-27,bolivia,Relatives of detainees in coup attempt in Bolivia said troopers were deceived to follow orders,Political Events,https://apnews.com/video/bolivia-coups-detat-la-paz-military-and-defense-protests-and-demonstrations-972397b871524f0484d745ba1dbe6ce0
2024-06-27,bolivia,Bolivia’s leader says the general accused of leading failed coup wanted to ‘take over’ as president,Political Events,https://apnews.com/video/coups-detat-bolivia-spain-government-4dce101e8d6044d48097a9bb2b8250ec
2024-06-27,bolivia,Bolivia president angrily rejects allegations he was behind attempted coup,Political Events,https://apnews.com/video/bolivia-coups-detat-indictments-1883b7d70e374200bf3b6581afd0818f
2024-06-29,bolivia,Families say those detained in Bolivia failed coup were tricked. President says it’s not his problem,Political Events,https://apnews.com/article/bolivia-coup-attempt-detained-zuniga-arce-e4e8f20fe61f6a61ffc54fe15f556798
2024-06-28,bolivia,US scenarios to advance past the first round at Copa America,Other,https://apnews.com/article/copa-america-us-scenarios-fe25e2233460ee5cafc1d7009c2c8354
2024-06-28,bolivia,"Who is General Zúñiga, the shadowy officer behind the thwarted coup in Bolivia?",Culture and Society,https://apnews.com/article/bolivia-army-chief-coup-attempted-foiled-2698e4bf34f25f8dddb1542a41f2f27d
2024-06-28,bolivia,Bolivia’s president lambasts accusations of a self-coup as ‘lies’ as his supporters rally,Political Events,https://apnews.com/article/bolivia-military-coup-arce-zuniga-arrest-568a17444e3356bce9812b7979e933f4
2024-06-26,bolivia,What triggered the coup attempt in Bolivia?,Political Events,https://apnews.com/article/bolivia-coup-arce-morales-military-army-la-paz-b41453606ccd31c8f0cc4b3b7e3732ca
2024-06-27,bolivia,President Luis Arce’s career has mirrored Bolivia’s economic trajectory from boom to bust,Political Events,https://apnews.com/article/bolivia-coup-army-president-luis-arce-7d15ca2b18202842b2f615594cc950fd
2024-06-27,bolivia,Bolivian general arrested after apparent failed coup attempt as government faces new crisis,Political Events,https://apnews.com/article/bolivia-military-deployment-arce-coup-fears-028cd88f3be1fb02164c05deb0faa099
2024-06-24,bolivia,"Pulisic scores, assists on Balogun goal to lead U.S. over Bolivia 2-0 in Copa America opener",Other,https://apnews.com/article/us-bolivia-copa-america-score-afc4a8cfc391668bbaaf555bf879c455
2024-06-23,bolivia,Bitter political fight in Bolivia is paralyzing the government as unrest boils over economic crisis,Political Events,https://apnews.com/article/bolivia-morales-arce-political-economic-crisis-d38051e051a2e6473a18133e4a9c6120
