Date,Title,Summary,Category
2024-07-10,Biden pledges air defences for Ukraine as Nato summit begins,"In a forceful defence of Nato, the president warned that ""autocrats"" were overturning global order.",No category available
2024-07-10,BBC Verify looks at evidence linking Russia to Kyiv hospital strike,Watch BBC Verify's visual analysis of the strike which killed two adults and injured 300.,No category available
2024-07-10,Biden pledges air defences for Ukraine as Nato summit begins,"In a forceful defence of Nato, the president warned that ""autocrats"" were overturning global order.",No category available
2024-07-10,'Beginning of two legends': Photos of Messi and baby Lamine Yamal resurface,Photos of Lionel Messi bathing Spanish 16-year-old star Lamine Yamal as a baby have gone viral.,No category available
2024-07-10,Russian court orders arrest of Yulia Navalnaya,A Moscow court issues an arrest warrant in absentia for the widow of opposition leader Alexei Navalny.,No category available
2024-07-10,BBC Verify looks at evidence linking Russia to Kyiv hospital strike,Watch BBC Verify's visual analysis of the strike which killed two adults and injured 300.,No category available
2024-07-10,French Socialist eyes PM job but deadlock persists,Olivier Faure of the left-wing New Popular Front is the first leader to throw his hat in the ring.,No category available
2024-07-10,US officials uncover alleged Russian ‘bot farm’,"The justice department says nearly 1,000 social media accounts distributed pro-Russia stories.",No category available
2024-07-10,Prosecutors probe Marine Le Pen campaign funding,"Marine Le Pen has not yet commented on the probe, announced two days after her party came third in France's legislative election.",No category available
2024-07-10,Kyiv hospital boss describes 'real hell' of missile attack,"Children screamed in fear at Kyiv's Ohmatdyt hospital after a deadly Russian missile hit, the director says.",No category available
2024-07-10,Two France players arrested over sexual assault claims,"The French Rugby Federation says the allegations against France players Oscar Jegou and Hugo Auradou are ""incredibly serious"".",No category available
2024-07-10,What just happened in France's shock election?,"Nobody expected the left to win, let alone for the far right to come in third place.",No category available
2024-07-10,'Victims of a dishonest alliance': French far right disappointed but defiant,"With the champagne on ice, they thought they were on the brink of victory - but it didn't happen.",No category available
2024-07-10,Analysis: French people reject the far right  - again,"Voters have turned out in large number to produce a shock result, writes the BBC's Hugh Schofield.",No category available
2024-07-10,The far right came close to power in France. What about the rest of Europe?,"Whatever the result of France's election, its impact will be seismic, says Europe editor Katya Adler.",No category available
2024-07-10,Fifty violent attacks shock France ahead of crunch vote,The interior minister says 51 candidates and activists have been targeted ahead of Sunday's election.,No category available
2024-07-10,Moment Ariane-6 rocket blasts into space on first flight,The vehicle set off from a launchpad in French Guiana on a demonstration mission.,No category available
2024-07-10,BBC Verify looks at evidence linking Russia to Kyiv hospital strike,Watch BBC Verify's visual analysis of the strike which killed two adults and injured 300.,No category available
2024-07-10,Staff help clear rubble from destroyed Kyiv hospital,Footage posted on social media by Ukraine's President Volodymyr Zelensky shows smoke rising from Ohmatdyt Children's Hospital and blown out windows.,No category available
2024-07-10,Jubilation and stunned silence: France reacts to exit polls,"Polls projected a surprise victory for France's left-wing coalition, denying the far-right of its expected win.",No category available
2024-07-10,Mass tourism protesters squirt water at Barcelona tourists,Thousands of people in the Spanish city have been taking part in demonstrations against mass tourism.,No category available
