,urls,date,location,title
0,https://www.ndtv.com/world-news/jimmy-maladina-senior-papua-new-guinea-minister-arrested-for-assaulting-woman-in-australia-6050703, Sunday July 07," Sydney                                                        
                                                        ",Senior Papua New Guinea Minister Arrested For Assaulting Woman In Australia
1,https://www.ndtv.com/world-news/co-flier-recalls-meeting-indian-origin-woman-who-died-mid-flight-her-innocent-face-6038584, Friday July 05, ,"Co-Flier Recalls Meeting Indian-Origin Woman Who Died Mid-Flight: ""Her Innocent Face..."""
2,https://www.ndtv.com/world-news/mcdonalds-australia-adjusts-breakfast-hours-amid-bird-flu-outbreak-6030942, Thursday July 04," Sydney                                                        
                                                        ",McDonald's Australia Adjusts Breakfast Hours Amid Bird Flu Outbreak
3,https://www.ndtv.com/world-news/us-tech-giant-amazon-secures-1-3b-deal-to-build-top-secret-cloud-for-australian-military-6030775, Thursday July 04," Sydney                                                        
                                                        ",Amazon Seals $1.3 Billion Deal To Build Top-Secret Cloud For Australian Military
4,https://www.ndtv.com/world-news/australian-police-find-remains-of-missing-child-in-suspected-crocodile-attack-6030313, Thursday July 04," Sydney                                                        
                                                        ",Australian Missing Child's Remains Found After Suspected Crocodile Attack
5,https://www.ndtv.com/india-news/australia-doubles-foreign-student-visa-fee-to-tackle-migration-6006700, Monday July 01," Sydney                                                        
                                                        ",Australia Doubles Foreign Student Visa Fee To Tackle Migration
6,https://www.ndtv.com/world-news/meta-warns-news-block-on-facebook-for-australia-over-licensing-fees-5987259, Friday June 28," Sydney                                                        
                                                        ",Meta Warns News Block On Facebook For Australia Over Licensing Fees
7,https://www.ndtv.com/world-news/free-from-prison-wikileaks-founder-julian-assange-plans-to-rediscover-life-enjoy-freedom-5979655, Thursday June 27, Canberra,"Free From Prison, Julian Assange Plans To ""Rediscover Life"", Enjoy Freedom"
8,https://www.ndtv.com/world-news/australian-prime-minister-anthony-albanese-hails-julian-assanges-return-opposition-says-he-is-no-martyr-5978543, Thursday June 27," Sydney                                                        
                                                        ","Australian PM Hails Assange's Return, Opposition Says He Is ""No Martyr"""
9,https://www.ndtv.com/world-news/how-australias-quiet-diplomacy-led-wikileaks-founder-julian-assange-to-freedom-5974456, Wednesday June 26," Canberra/London                                                        
                                                        ",How Australia's Quiet Diplomacy Led WikiLeaks' Julian Assange To Freedom
10,https://www.ndtv.com/world-news/julian-assange-lands-in-australia-as-a-free-man-5973852, Wednesday June 26," Canberra                                                        
                                                        ",Watch: Julian Assange's Tight Hug For Wife As He Returns Home A Free Man
11,https://www.ndtv.com/world-news/australian-pm-calls-assanges-us-plea-deal-hearing-welcome-development-5971045, Wednesday June 26," Sydney                                                        
                                                        ","""Welcome Development"": Australian PM On Julian Assange's US Plea Deal"
12,https://www.ndtv.com/world-news/australia-opens-armed-forces-for-non-citizens-amid-recruitment-shortage-5813368, Tuesday June 04, Sydney,Australia Opens Armed Forces For Non-Citizens Amid Recruitment Shortage
13,https://www.ndtv.com/world-news/order-blocking-elon-musks-x-for-australian-church-stabbing-video-lifted-5650301, Monday May 13," Sydney                                                        
                                                        ",Order Blocking Elon Musk's X For Australian Church Stabbing Video Lifted
14,https://www.ndtv.com/world-news/northern-lights-aurora-borealis-cover-europe-us-australia-after-strongest-solar-storm-in-2-decades-5638170, Saturday May 11, ,Glimpses Of Northern Lights After Strongest Solar Storm In 2 Decades
15,https://www.ndtv.com/world-news/australia-student-visa-explained-how-australias-new-student-visa-rule-change-affects-indians-5617681, Thursday May 09, ,Explained: How Australia's New Student Visa Rule Change Affects Indians
16,https://www.ndtv.com/indians-abroad/navjeet-sandhu-abhijeet-robin-gartan-2-brothers-from-haryana-arrested-for-killing-indian-student-in-australia-5621939, Thursday May 09," New Delhi                                                        
                                                        ",2 Brothers From Haryana Arrested For Killing Indian Student In Australia
17,https://www.ndtv.com/world-news/bodies-of-murdered-australian-us-surfers-identified-in-mexico-5597978, Monday May 06, Tijuana,"Bodies Of Murdered Australian, US Surfers Identified In Mexico"
18,https://www.ndtv.com/world-news/bodies-in-mexico-presumed-to-be-missing-us-australian-surfers-have-bullet-wounds-5597348, Monday May 06, Tijuana,"Bodies In Mexico, Likely Those Of Missing US, Australia Surfers, Found With Bullet Wounds"
19,https://www.ndtv.com/world-news/radicalised-teenager-with-knife-shot-dead-by-cops-in-australia-5591333, Sunday May 05," Sydney                                                        
                                                        ","""Radicalised"" Teenager With Knife Shot Dead By Cops In Australia"
20,https://www.ndtv.com/world-news/after-us-anti-israel-pro-palestinian-student-protests-spread-to-more-countries-over-gaza-war-hamas-5590691, Sunday May 05," New Delhi                                                        
                                                        ","After US, Pro-Palestinian Student Protests Spread To More Countries"
